Country Name,Total Cases,Population
Equatorial Guinea,"15,898","1,481,056"
Djibouti,"15,568","1,012,361"
San Marino,"14,726","34,052"
Liechtenstein,"14,424","38,314"
CAR,"14,320","4,972,125"
Grenada,"13,690","113,407"
Bermuda,"11,989","61,888"
Gambia,"11,973","2,531,694"
Greenland,"11,879","56,937"
Yemen,"11,793","30,939,279"
Dominica,"11,529","72,289"
Saint Martin,"9,912","39,784"
Monaco,"9,827","39,714"
Eritrea,"9,722","3,629,646"
Sint Maarten,"9,629","43,701"
Solomon Islands,"9,124","715,428"
Niger,"8,781","25,690,539"
Comoros,"8,069","900,997"
Guinea-Bissau,"8,068","2,046,825"
Sierra Leone,"7,668","8,251,941"
Caribbean Netherlands,"7,653","26,636"
Antigua and Barbuda,"7,466","99,304"
Liberia,"7,397","5,259,133"
Chad,"7,267","17,224,386"
St. Vincent Grenadines,"6,743","111,538"
British Virgin Islands,"6,104","30,572"
Sao Tome and Principe,"5,936","226,058"
Turks and Caicos,"5,874","39,605"
Saint Kitts and Nevis,"5,541","53,837"
Palau,"3,922","18,240"
St. Barth,"3,780","9,928"
Kiribati,"3,038","122,556"
Anguilla,"2,595","15,230"
Tonga,"2,072","107,726"
Saint Pierre Miquelon,"1,316","5,746"
Diamond Princess,712,
Wallis and Futuna,454,"10,905"
Cook Islands,379,"17,591"
Vanuatu,341,"319,308"
Montserrat,171,"4,997"
Falkland Islands,118,"3,652"
Macao,82,"664,344"
Samoa,48,"200,650"
Vatican City,29,804
Western Sahara,10,"622,226"
MS Zaandam,9,
Marshall Islands,7,"59,867"
Saint Helena,2,"6,108"
Micronesia,1,"117,068"
Niue,1,"1,645"
