province,date_recovered,recovered
Alberta,30-08-2020,0
Alberta,31-08-2020,239
Alberta,1/9/2020,134
Alberta,2/9/2020,108
Alberta,3/9/2020,118
Alberta,4/9/2020,146
Alberta,5/9/2020,0
Alberta,6/9/2020,0
Alberta,7/9/2020,0
Alberta,8/9/2020,355
Alberta,9/9/2020,204
Alberta,10/9/2020,199
Alberta,11/9/2020,161
Alberta,12/9/2020,0
Alberta,13-09-2020,0
Alberta,14-09-2020,323
Alberta,15-09-2020,171
Alberta,16-09-2020,167
Alberta,17-09-2020,158
Alberta,18-09-2020,165
Alberta,19-09-2020,0
Alberta,20-09-2020,0
Alberta,21-09-2020,322
Alberta,22-09-2020,42
Alberta,23-09-2020,186
Alberta,24-09-2020,215
Alberta,25-09-2020,118
Alberta,26-09-2020,0
Alberta,27-09-2020,0
Alberta,28-09-2020,350
Alberta,29-09-2020,137
Alberta,30-09-2020,141
Alberta,1/10/2020,157
Alberta,2/10/2020,157
Alberta,3/10/2020,0
Alberta,4/10/2020,0
Alberta,5/10/2020,345
Alberta,6/10/2020,158
Alberta,7/10/2020,133
Alberta,8/10/2020,175
Alberta,9/10/2020,150
Alberta,10/10/2020,0
Alberta,11/10/2020,0
Alberta,12/10/2020,0
Alberta,13-10-2020,567
Alberta,14-10-2020,168
Alberta,15-10-2020,194
Alberta,16-10-2020,234
Alberta,17-10-2020,0
Alberta,18-10-2020,0
Alberta,19-10-2020,592
Alberta,20-10-2020,257
Alberta,21-10-2020,234
Alberta,22-10-2020,280
Alberta,23-10-2020,296
Alberta,24-10-2020,0
Alberta,25-10-2020,0
Alberta,26-10-2020,639
Alberta,27-10-2020,159
Alberta,28-10-2020,351
Alberta,29-10-2020,344
Alberta,30-10-2020,366
Alberta,31-10-2020,0
Alberta,1/11/2020,0
Alberta,2/11/2020,0
Alberta,3/11/2020,1315
Alberta,4/11/2020,390
Alberta,5/11/2020,0
Alberta,6/11/2020,810
Alberta,7/11/2020,0
Alberta,8/11/2020,0
Alberta,9/11/2020,1142
Alberta,10/11/2020,581
Alberta,11/11/2020,0
Alberta,12/11/2020,1300
Alberta,13-11-2020,614
Alberta,14-11-2020,0
Alberta,15-11-2020,0
Alberta,16-11-2020,1410
Alberta,17-11-2020,731
Alberta,18-11-2020,730
Alberta,19-11-2020,772
Alberta,20-11-2020,871
Alberta,21-11-2020,708
Alberta,22-11-2020,663
Alberta,23-11-2020,573
Alberta,24-11-2020,916
Alberta,25-11-2020,887
Alberta,26-11-2020,734
Alberta,27-11-2020,1053
Alberta,28-11-2020,1012
Alberta,29-11-2020,838
Alberta,30-11-2020,963
Alberta,1/12/2020,1123
Alberta,2/12/2020,1159
Alberta,3/12/2020,1241
Alberta,4/12/2020,1313
Alberta,5/12/2020,1310
Alberta,6/12/2020,1139
Alberta,7/12/2020,1136
Alberta,8/12/2020,1397
Alberta,9/12/2020,1636
Alberta,10/12/2020,1589
Alberta,11/12/2020,1722
Alberta,12/12/2020,1666
Alberta,13-12-2020,1205
Alberta,14-12-2020,1312
Alberta,15-12-2020,1804
Alberta,16-12-2020,1734
Alberta,17-12-2020,1845
Alberta,18-12-2020,1646
Alberta,19-12-2020,1673
Alberta,20-12-2020,1335
Alberta,21-12-2020,1267
Alberta,22-12-2020,1864
Alberta,23-12-2020,1772
Alberta,24-12-2020,0
Alberta,25-12-2020,0
Alberta,26-12-2020,0
Alberta,27-12-2020,0
Alberta,28-12-2020,6710
Alberta,29-12-2020,1548
Alberta,30-12-2020,1499
Alberta,31-12-2020,0
Alberta,1/1/2021,0
Alberta,2/1/2021,0
Alberta,3/1/2021,0
